0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,y_train
2,1343,12,576,609,39,2363,8,10,1893,77,143,704,539,2,48,592,932,6975,15,4553,5584,970,970,2285,35,10,5,4105,8,2371,92,5,4366,8,50,44,2,191,4282,15,4283,1,386,92,1,511,10,5,4198,687,8,2371,4033,408,133,92,5,4284,46,1,2750,4,4456,8,5,13,78,2285,35,970,1795,1983,686,566,502,4274,246,42,304,150,141,42,78,13,26,42,78,99,74,141,9,253,210,82,37,298,307,42,78,0
51,966,2140,16,1914,16,21,709,35,30,32,117,1372,22,16,1372,22,2096,48,17,194,1332,218,468,52,3,5,402,44,13,26,16,2138,1880,14,184,35,52,8,326,27,299,499,2,537,412,13,299,16,184,103,270,105,37,103,270,65,132,35,195,65,132,35,65,74,103,270,14,184,35,52,8,326,27,299,499,2,537,412,13,299,16,184,103,270,105,37,103,270,65,132,35,195,65,132,35,65,74,103,270,0
0,0,0,0,0,0,0,0,186,13,26,4568,16,893,47,281,606,113,176,47,281,108,1183,384,165,1021,58,459,5,60,840,25,70,164,666,9,12,403,469,344,2,1092,12,54,9,46,4,1,60,9,272,4332,50,60,272,416,29,60,2290,363,54,50,11,151,50,490,1021,58,12,91,49,12,11,151,91,49,12,50,50,90,5,239,647,574,91,9906,490,12,50,25,128,29,12,55,38,128,9620,2449,21,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,454,7,84,7,34,1248,3,674,1615,17,280,2,5,1512,2383,79,76,61,9,294,56,670,1
7,665,60,133,1565,2166,21,4739,285,532,280,373,1010,115,5,418,532,930,13,16,247,900,40,427,2,48,81,313,578,6,362,92,375,484,5426,162,2213,32,39,681,199,427,2,371,9,1565,6,5,134,10,2930,86,6,554,1225,348,12,40,283,5792,5,79,76,2,1247,17,120,22,288,1203,13,16,247,900,3491,246,42,304,150,720,1256,720,42,78,13,26,42,78,99,74,720,9,253,210,82,37,298,307,42,78,1
4473,1,2350,1562,1780,11,104,23,38,1542,5620,468,1780,36,11,743,48,10,4458,565,564,118,126,12,40,989,9,226,3,8,25,1991,1330,25,302,2,429,5,60,1780,11,160,41,8,44,92,470,9,31,498,12,135,156,19,39,18,42,10,8,424,14,44,1465,36,1045,12,8,8641,57,58,129,470,70,249,945,77,19,246,42,304,150,141,42,78,13,26,42,78,99,74,141,9,253,210,82,37,298,307,42,78,0
7477,9,14,6358,290,57,180,12,54,33,140,12,2,7,3,7,122,917,12,9,50,1298,3,50,7,91,73,12,57,140,12,187,3,7,6698,19,749,8,25,1511,1,52,120,55,87,1080,3,3604,2,45,105,37,67,680,10,388,18,292,2,14,52,448,4221,1,210,325,52,29,7,77,73,2,490,550,14,749,79,76,5984,301,486,131,301,502,131,162,203,11,502,72,88,453,260,19,2,1,177,4,1464,1702,1
135,66,50,121,1230,225,1,1077,1813,2,138,415,854,106,311,49,25,96,70,2596,15,1,8352,1323,23,5,275,28,1,407,46,4,1,324,12,765,8,5,7181,984,9,902,1077,6253,7,34,540,5,46,10,2257,463,1077,1269,7560,21,1045,458,414,227,4038,1,3290,6281,911,8,5,1,8511,8,496,143,5,3,220,2140,7892,246,42,304,150,141,42,78,13,26,42,78,99,74,141,9,253,210,82,37,298,307,42,78,0
151,2,3164,380,1106,6,1,177,28,70,62,641,1,563,652,3,2,160,12,32,707,18,1254,4,464,151,13,26,2460,16,47,384,221,354,113,2740,7592,31,887,2,2291,9,82,15,910,6,72,69,1319,21,89,2620,910,1140,18,1,60,1119,426,15,1,123,100,401,2460,16,21,409,45,217,591,4474,28,13,26,2460,16,597,82,58,2460,16,540,2,174,2460,16,530,47,1,60,1119,426,200,13,256,16,99,74,191,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,13,26,622,16,79,31,1322,176,47,108,1864,1033,273,2558,8137,238,0
113,9,207,60,843,10,4508,3837,491,380,397,1,451,593,47,1746,3557,2863,3837,150,3004,30,700,41,2690,2,5,1746,3557,6477,1363,18,94,272,2071,2863,1,1265,3,118,1604,20,530,47,1218,2186,32,387,756,2203,1147,43,224,468,1147,43,224,9667,72,69,1099,1637,832,319,257,22,119,637,1203,409,1,339,186,96,247,10,7,813,811,1,189,72,69,120,24,7,213,2,821,14,208,13,37,832,319,349,692,1044,5254,692,0
631,9,12,2,117,67,8,811,63,11,521,23,1,1775,4,42,4031,521,3494,86,10,7737,104,121,2911,7,7113,59,1,4278,493,11,127,265,61,1510,11,40,337,1,3879,10,4278,129,5,2495,1657,14,8,1955,25,1,341,541,83,7,473,2,14,112,100,405,1,105,37,3,21,8353,120,3,39,52,120,6,2,1104,6115,246,42,304,150,141,42,78,13,26,42,78,99,74,141,9,253,210,82,37,298,307,42,78,0
114,36,39,386,8,6030,1,2568,612,56,6,1,508,2749,4,5,420,144,8,25,5,937,2532,126,166,923,20,8192,144,50,53,20,25,166,923,20,8192,910,144,8,1511,884,52,29,7,49,25,722,14,106,7670,3841,385,9252,116,1971,145,251,9,452,1,3423,312,28,13,26,16,14,184,35,52,8,326,27,299,499,2,537,412,13,299,16,184,103,919,105,37,103,919,65,132,35,195,65,132,35,65,74,103,919,0
1,1017,570,3,364,59,2,1153,1501,17,2306,496,19,427,2,1501,570,3,48,5,56,656,6,362,92,5,1141,48,17,56,1402,1427,1501,1,1017,740,106,889,5,200,3,757,217,48,5,56,900,61,7,331,4053,1,288,36,7,34,392,3137,9,12,2,19,3766,22,288,2465,1492,14,184,35,52,8,326,27,299,499,2,537,412,13,299,16,184,103,475,105,37,103,475,65,132,35,195,65,132,35,65,74,103,475,1
17,112,30,19,284,2,38,1007,1458,667,586,565,695,5,60,112,21,229,1,6241,381,120,2,46,4,119,9,597,771,1096,2205,2,702,5,3556,9,643,1050,9,473,6,5,288,702,5,861,177,1592,719,8,530,162,1252,47,32,387,756,1,719,123,183,8,28,7,122,5907,14,749,6,675,21,6,355,6,89,56,591,217,897,10,7,405,14,541,3,1,530,1370,551,6,941,591,21,15,123,1082,1368,2318,1734,401,0
